open,high,low,close,volume,target,prediction
73.01,73.71,72.82,73.31,2000477,75.4,
73.09,73.27,72.1,73.07,1880055,75.4,
72.89,73.495,72.58,73.37,1710274,75.4,
73.32,73.71,73.2,73.56,1884631,75.4,
73.21,73.5,72.66,73.13,2096346,75.4,
73.08,74.16,73.0,74.16,3221961,74.0,
74.28,75.46,73.83,75.4,2787513,74.0,
75.4,75.97,75.0,75.0,2641312,74.0,73.41218346634584
74.69,74.75,73.45,73.85,2647515,74.0,
74.15,74.8,73.95,74.8,1930654,74.0,
75.17,75.52,73.91,73.91,2836095,77.03,
74.32,74.68,73.55,73.83,1970561,77.03,
74.0,74.63,73.39,74.41,2201042,77.03,75.09085082294084
74.52,75.14,74.27,74.36,2366121,77.03,
74.13,74.95,73.62,74.82,1678154,77.03,
74.53,75.28,74.25,75.24,1825682,78.0,
75.56,77.0,75.5,76.92,2523071,78.0,
77.03,77.6,76.92,77.41,2000048,78.0,75.14968542537872
77.29,77.835,76.87,77.57,2565710,78.0,
77.98,78.46,77.39,78.35,1878456,78.0,
78.38,78.43,77.63,78.3,1752106,76.34,
78.26,78.4,77.63,78.02,1645569,76.34,
78.0,78.12,77.465,77.93,1789769,76.34,78.6385761555052
78.08,78.37,77.865,78.26,1959257,76.34,
77.88,78.17,76.52,76.6,6131312,76.34,
75.87,77.27,75.86,76.81,2578496,74.18,
77.16,77.22,75.81,76.18,2801666,74.18,
76.34,76.8,76.13,76.49,2487340,74.18,76.93872921997217
75.83,76.005,74.065,74.3,3844648,74.18,
74.3,74.74,73.33,73.88,3306172,74.18,
74.2,74.324,73.225,73.41,3397367,76.86,
74.0,74.73,73.84,74.54,2040600,76.86,
74.18,75.04,74.1,74.88,2482818,76.86,74.2061368274002
73.79,76.14,72.42,75.97,4038807,76.86,
76.07,76.45,75.55,75.85,2017406,76.86,
76.1,76.98,75.91,76.67,2686667,76.97,
76.835,77.0,76.13,76.6,2986577,76.97,
76.86,76.92,76.31,76.61,1796319,76.97,76.08757563539837
75.76,76.36,75.52,76.25,2077949,76.97,
76.14,76.62,75.9,76.55,1950747,76.97,
76.76,76.95,75.93,76.21,1975596,76.99,
75.56,77.12,75.5,77.01,3406072,76.99,
76.97,77.94,76.81,77.78,2533852,76.99,76.80944324509207
77.0,77.37,76.17,77.23,2985208,76.99,
76.93,77.06,75.23,75.24,2930740,76.99,
76.0,77.56,75.605,77.49,3439799,78.0,
76.79,77.23,76.42,76.7,3185116,78.0,
76.99,77.15,75.48,75.57,3528100,78.0,75.51265141371117
75.02,75.39,74.205,74.74,5587899,78.0,
75.0,75.13,74.19,74.94,2324161,78.0,
75.29,77.2,75.01,76.3,3279067,80.15,
76.43,77.91,76.43,77.81,3654835,80.15,
78.0,79.66,77.88,79.33,3472781,80.15,75.25555664712992
78.61,79.38,78.46,78.66,2683480,80.15,
78.66,81.45,78.63,81.13,3947964,80.15,
80.92,81.44,80.03,81.44,3334321,79.7401,
81.44,82.18,79.71,79.77,3600978,79.7401,
80.15,80.77,79.335,79.49,3432576,79.7401,81.56606216297656
80.08,80.29,79.24,79.5,3486056,79.7401,
79.4,79.85,78.74,78.82,4917796,79.7401,
78.87,79.35,78.74,79.05,2567784,80.56,
79.13,80.0,79.0,80.0,3088533,80.56,
79.7401,80.77,79.69,80.09,2155461,80.56,79.08688873522428
80.34,81.48,80.15,80.48,2193646,80.56,
80.06,80.69,79.85,79.92,1739587,80.56,
79.91,80.63,79.86,80.55,2265006,81.76,
80.5,80.94,79.815,80.76,2382819,81.76,
80.56,81.52,79.29,80.61,2528731,81.76,80.07963403312269
80.7,82.24,80.5,82.24,2567982,81.76,
82.94,83.82,82.33,82.53,3026247,81.76,
82.65,83.33,82.12,82.9,2675999,82.25,
82.97,84.225,82.2,82.52,3090060,82.25,
81.76,82.75,81.1,82.52,2742775,82.25,82.72434231988474
82.04,82.39,80.78,82.22,2206926,82.25,
83.27,83.44,82.76,83.09,2105299,82.25,
82.52,83.37,82.35,82.95,2457826,80.84,
83.02,83.4,82.78,82.84,2195554,80.84,
82.25,83.5,82.0,82.11,3134966,80.84,83.27991697430994
82.48,82.61,81.6,82.1,2019011,80.84,
82.0,82.29,80.94,81.25,3340511,80.84,
81.25,81.25,79.37,79.58,2433400,80.91,
79.74,80.05,78.77,79.55,2721559,80.91,
80.84,80.95,80.06,80.9,2916634,80.91,81.4979424868697
81.28,81.59,80.6,81.55,2127510,80.91,
80.64,81.6,80.36,80.41,1972249,80.91,
80.84,81.0,79.65,79.71,1462595,79.69,
79.89,81.38,79.44,81.08,2150462,79.69,
80.91,81.65,80.325,80.55,1367384,79.69,80.56606203384176
81.28,82.95,81.11,82.45,2473330,79.69,
82.64,83.3,82.14,82.93,1862586,79.69,
82.87,83.03,81.82,81.83,1876335,71.8,
81.11,81.51,79.37,79.52,2886852,71.8,
79.69,79.92,78.78,79.4,4555053,71.8,83.15776886611155
79.06,79.87,78.85,79.16,2518387,71.8,
80.05,80.17,79.25,79.66,2899300,71.8,
80.48,80.48,79.43,79.56,3066592,74.01,
80.22,80.92,79.84,80.22,4071210,74.01,
71.8,72.25,69.0,71.96,28284386,74.01,79.91534941186565
72.14,73.51,72.0,72.1,6396495,74.01,
71.73,72.45,71.39,72.12,4685505,74.01,
71.88,73.0,71.88,72.68,2908587,75.81,
73.25,74.09,73.001,73.64,3125448,75.81,
74.01,74.86,73.76,74.47,4585314,75.81,72.49168231310632
74.86,74.98,73.84,74.1,4339977,75.81,
74.22,74.5,73.73,74.35,3547180,75.81,
75.0,75.58,74.89,75.2,4099120,75.83,
75.5,75.74,74.96,75.52,3509692,75.83,
75.81,76.29,75.35,76.25,2247474,75.83,74.67481641680023
